Status	Channel	CustomerNum	RoomID
OLD	1	1	6
OLD	2	1	12
OLD	1	2	18
NEW	3	1	24
OLD	2	2	36
NEW	4	1	48
OLD	1	3	54
NEW	3	2	72
OLD	2	3	108
NEW	4	2	144
OLD	1	4	162
NEW	3	3	216
OLD	2	4	324
NEW	4	3	432
OLD	1	5	486
NEW	3	4	648
OLD	2	5	972
NEW	4	4	1296
OLD	1	6	1458
NEW	3	5	1944
OLD	2	6	2916
NEW	4	5	3888
OLD	1	7	4374
NEW	3	6	5832
NEW	4	6	11664
OLD	1	8	13122
NEW	3	7	17496
OLD	2	8	26244
NEW	4	7	34992
OLD	1	9	39366
NEW	3	8	52488
OLD	2	9	78732
NEW	4	8	104976
OLD	1	10	118098
NEW	3	9	157464
OLD	2	10	236196
NEW	4	9	314928
NEW	3	10	472392
OLD	2	11	708588
NEW	4	10	944784
OLD	2	12	2125764
NEW	4	11	2834352
OLD	2	13	6377292
NEW	4	12	8503056
OLD	2	14	19131876
NEW	4	13	25509168
OLD	2	15	57395628
NEW	4	14	76527504
OLD	2	16	172186884
NEW	4	15	229582512
OLD	2	17	516560652
NEW	4	16	688747536
OLD	2	18	1549681956
NEW	4	17	2066242608
OLD	2	19	4649045868
NEW	4	18	6198727824
OLD	2	20	13947137604
NEW	4	19	18596183472
NEW	4	20	55788550416
